distance	color
148	153,0,153
149	0,153,153
150	153,153,153
151	51,0,0
152	178,102,129
153	255,0,130
154	192,192,192
304	0,255,130
317	130,0,255
318	0,130,255
319	130,255,0
320	255,0,0
321	0,255,0
322	0,0,255
323	255,255,0
324	0,255,255
325	255,130,0
491	128,128,128
492	255,204,204
493	204,255,204
494	204,229,255
495	102,0,51
496	102,102,102
497	255,0,255
511	0,51,25
658	153,0,0
659	193,90,0
661	185,163,144
662	209,0,195
663	220,170,9
664	105,15,99
665	1,218,218
666	2,88,88
667	32,32,32
678	0,0,153
832	60,26,104
833	145,123,174
834	147,82,232
837	85,50,129
1001	227,233,139
1345	161,171,32
1512	198,212,0
